lead_id,company_name,company_website,prospect_name,prospect_title,prospect_email,country,industry,source,manual_context,action,status,approved,revision_instruction,import_batch_id,source_provider,source_type,file_name,created_by,created_at,total_rows,imported_count,duplicate_count,rejected_count,error_count,notes,candidate_id,source_record_id,source_url,company_domain,company_linkedin_url,prospect_linkedin_url,region,company_size,raw_headline,raw_company_description,raw_data_json,candidate_status,candidate_score,candidate_score_reason,dedupe_key,duplicate_of,reviewed_by,reviewed_at,manual_company_context,manual_person_context,manual_linkedin_notes,fit_score,fit_score_reason,quality_score,quality_issues,evidence_quality,manual_context_summary,message_angle,email_subject,email_draft,revision_instruction_hash,last_processed_revision_hash,revision_count,revised_draft,final_subject,final_message,gmail_draft_id,gmail_draft_url,export_ready,agent_note,error_message,run_id,locked_at,processed_at,last_updated_by_agent_at,enrichment_result,apollo_enrichment_status,apollo_enrichment_reason,apollo_enrichment_score,apollo_enrichment_confidence,apollo_email_enriched_at,apollo_credits_used,manual_company_linkedin_text,manual_person_linkedin_text,manual_company_linkedin_copied_at,manual_person_linkedin_copied_at,identity_validation_status,identity_validation_reason,icp_status,icp_score,icp_score_reason,ready_for_enrichment,ready_for_draft,enrichment_id,enrichment_status,company_summary,b2b_fit,operational_pain_hypothesis,possible_ai_use_case,personalization_angle,trigger_summary,risk_flags,review_required,review_category,review_summary,review_evidence,suggested_action,suggested_action_reason,user_decision,user_decision_notes,evidence_count,evidence_sources,evidence_summary,evidence_urls,confidence_score,recommended_action,finished_at
lead_good_001,Andes ERP Partners,https://andeserp.example.com,Camila Rojas,Founder,camila@andeserp.example.com,Peru,ERP implementation,manual,Consultora B2B de implementacion ERP. El equipo comercial parece pequeno y vende proyectos consultivos.,research_and_draft,insufficient_data,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enrichment complete. Status: insufficient_data, confidence: 30, recommended_action: discard.",,,,,,"{""enrichment_id"": ""enr-lead_good_001"", ""run_id"": ""test-run"", ""lead_id"": ""lead_good_001"", ""company_name"": ""Andes ERP Partners"", ""company_website"": ""https://andeserp.example.com"", ""prospect_name"": ""Camila Rojas"", ""prospect_title"": ""Founder"", ""enrichment_status"": ""insufficient_data"", ""company_summary"": null, ""b2b_fit"": null, ""operational_pain_hypothesis"": null, ""possible_ai_use_case"": null, ""personalization_angle"": null, ""trigger_summary"": null, ""risk_flags"": [""insufficient_data"", ""insufficient_data"", ""score: 20"", ""baseline interest"", ""B2B fit unknown"", ""country is supported Spanish-speaking ICP"", ""company website present"", ""prospect is tier A buyer"", ""no evidence items"", ""insufficient data risk flag"", ""missing evidence reduces confidence""], ""evidence_count"": 0, ""evidence_sources"": null, ""confidence_score"": 30, ""recommended_action"": ""discard"", ""error_message"": null, ""created_at"": null, ""finished_at"": null, ""evidence_items"": []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_weak_001,Tienda La Esquina,,Luis Perez,Owner,luis@tiendalaesquina.example.com,Peru,Retail,manual,Negocio local B2C sin senales claras de venta consultiva B2B.,research_and_draft,insufficient_data,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enrichment complete. Status: insufficient_data, confidence: 30, recommended_action: discard.",,,,,,"{""enrichment_id"": ""enr-lead_weak_001"", ""run_id"": ""test-run"", ""lead_id"": ""lead_weak_001"", ""company_name"": ""Tienda La Esquina"", ""company_website"": null, ""prospect_name"": ""Luis Perez"", ""prospect_title"": ""Owner"", ""enrichment_status"": ""insufficient_data"", ""company_summary"": null, ""b2b_fit"": null, ""operational_pain_hypothesis"": null, ""possible_ai_use_case"": null, ""personalization_angle"": null, ""trigger_summary"": null, ""risk_flags"": [""insufficient_data"", ""insufficient_data"", ""score: 0"", ""baseline interest"", ""B2B fit unknown"", ""country is supported Spanish-speaking ICP"", ""no company website"", ""no evidence items"", ""insufficient data risk flag"", ""missing evidence reduces confidence""], ""evidence_count"": 0, ""evidence_sources"": null, ""confidence_score"": 30, ""recommended_action"": ""discard"", ""error_message"": null, ""created_at"": null, ""finished_at"": null, ""evidence_items"": []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_failed_001,,https://missing-company.example.com,Ana Torres,Commercial Manager,ana@missing-company.example.com,Chile,B2B services,manual,Fila intencionalmente incompleta para validar errores de datos.,research_and_draft,new,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_revision_001,Nova Cyber Advisors,https://novacyber.example.com,Martin Silva,Sales Director,martin@novacyber.example.com,Colombia,Cybersecurity,manual,Firma de ciberseguridad con servicios para empresas medianas. Draft previo demasiado generico.,revise,drafted,false,Hazlo mas directo y menciona trazabilidad de evidencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,completed_with_errors,,,batch_4c736853b0ea,generic,csv,NonExistentTab,,2026-05-05T18:10:50.823447+00:00,3,2,0,0,1,"1 validation error for SourceCandidate
company_name
  Field required [type=missing, input_value={'company_website': 'http...': 'batch_4c736853b0ea'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tienda La Esquina,,Luis Perez,Owner,luis@tiendalaesquina.example.com,Peru,Retail,,,,,,,batch_4c736853b0ea,generic,,,,,,,,,,,cand_35decadb470b,,,tiendalaesquina.example.com,,,,,,,"{""lead_id"": ""lead_weak_001"", ""source"": ""manual"", ""manual_context"": ""Negocio local B2C sin senales claras de venta consultiva B2B."", ""action"": ""research_and_draft"", ""status"": ""new"", ""approved"": ""false""}",promoted_to_lead,,,email:luis@tiendalaesquina.example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nova Cyber Advisors,https://novacyber.example.com,Martin Silva,Sales Director,martin@novacyber.example.com,Colombia,Cybersecurity,,,,,,,batch_4c736853b0ea,generic,,,,,,,,,,,cand_87e73f1427bf,,,novacyber.example.com,,,,,,,"{""lead_id"": ""lead_revision_001"", ""source"": ""manual"", ""manual_context"": ""Firma de ciberseguridad con servicios para empresas medianas. Draft previo demasiado generico."", ""action"": ""revise"", ""status"": ""drafted"", ""approved"": ""false"", ""revision_instruction"": ""Hazlo mas directo y menciona trazabilidad de evidencia.""}",promoted_to_lead,,,email:martin@novacyber.example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cand_35decadb470b,Tienda La Esquina,,Luis Perez,Owner,luis@tiendalaesquina.example.com,Peru,Retail,generic,,research_and_draft,needs_manual_research,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,false,"Enrich-and-draft blocked before web research. missing_required_context: Missing required fields: company_linkedin_url, prospect_linkedin_url, manual_company_linkedin_text, manual_person_linkedin_text; not_evaluated: ICP not evaluated until required LinkedIn URLs and pasted LinkedIn content are present.",,,,,,,,,,,,,,,,,missing_required_context,"Missing required fields: company_linkedin_url, prospect_linkedin_url, manual_company_linkedin_text, manual_person_linkedin_text",not_evaluated,0,ICP not evaluated until required LinkedIn URLs and pasted LinkedIn content are present.,false,false,,,,,,,,,,,,,,,,,,,,,,,,
cand_87e73f1427bf,Nova Cyber Advisors,https://novacyber.example.com,Martin Silva,Sales Director,martin@novacyber.example.com,Colombia,Cybersecurity,generic,,research_and_draft,needs_manual_research,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,false,"Enrich-and-draft blocked before web research. missing_required_context: Missing required fields: company_linkedin_url, prospect_linkedin_url, manual_company_linkedin_text, manual_person_linkedin_text; not_evaluated: ICP not evaluated until required LinkedIn URLs and pasted LinkedIn content are present.",,,,,,,,,,,,,,,,,missing_required_context,"Missing required fields: company_linkedin_url, prospect_linkedin_url, manual_company_linkedin_text, manual_person_linkedin_text",not_evaluated,0,ICP not evaluated until required LinkedIn URLs and pasted LinkedIn content are present.,false,false,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,completed_with_errors,,,batch_5e602cef72ae,generic,csv,NonExistentTab,,2026-05-05T18:11:46.534079+00:00,8,0,6,0,2,"1 validation error for SourceCandidate
company_name
  Field required [type=missing, input_value={'company_website': 'http...': 'batch_5e602cef72ae'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing; 1 validation error for SourceCandidate
company_name
  Field required [type=missing, input_value={'import_batch_id': 'batc...0', 'error_count': '1'}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
